rmse,mean_is,coverage_prob,crps,training_time
0.14990246295928955,0.7893203186552699,0.9634146341463414,0.08256488943972239,164.39008259773254
0.16875004768371582,0.9096104916276001,0.9536585365853658,0.08553159377742105,162.51114201545715
0.14963193237781525,0.805735222440354,0.9682539682539683,0.08246171843801808,163.34881448745728
0.15409407019615173,0.8549923591124706,0.9645909645909646,0.08427053656297144,162.86511301994324
0.14904889464378357,0.8688659475108789,0.9682539682539683,0.08063140269528088,167.98022079467773
0.1657147854566574,0.9161372012271113,0.9511599511599511,0.08944947672814531,167.00173616409302
0.14480455219745636,0.7642748684819074,0.9755799755799756,0.08080290761004147,165.30593848228455
0.1610674411058426,0.8740985440829444,0.9548229548229549,0.08599910688596768,165.16353225708008
0.1664794236421585,0.9380950536192264,0.9413919413919414,0.08890037022085272,168.4379861354828
0.14931471645832062,0.8119739201624897,0.9584859584859585,0.08130027202750592,174.24074578285217
0.15255120396614075,0.8262497502856139,0.9609756097560975,0.08441222900661026,165.6087634563446
0.16407199203968048,0.876308717887576,0.948780487804878,0.08884115137341546,165.5369997024536
0.1554875373840332,0.856097264385922,0.9597069597069597,0.0844408407425269,165.58148384094238
0.15489988029003143,0.8560245671697297,0.967032967032967,0.08498334637200584,170.35422039031982
0.14254173636436462,0.8017540391402658,0.9768009768009768,0.07964520354701778,172.89807391166687
0.16266578435897827,0.9161475177795168,0.9621489621489622,0.08704425299924518,165.6039845943451
0.14600923657417297,0.7715559553750705,0.967032967032967,0.08028899894638376,165.50456762313843
0.18568390607833862,0.8778544763360122,0.967032967032967,0.08713041763566207,165.49468612670898
0.1577264815568924,0.89216205437687,0.9560439560439561,0.08457060525778304,171.96926093101501
0.1573522835969925,0.8733530543808244,0.967032967032967,0.08501792940173539,171.54808950424194
