rmse,mean_is,coverage_prob,crps,training_time
0.3211480975151062,2.4099948406219482,0.6666666865348816,0.19958728551864624,43.917434215545654
0.2775680422782898,1.853090524673462,0.7647058963775635,0.16102881729602814,43.85499572753906
0.25789159536361694,1.5481449365615845,0.8039215803146362,0.15038210153579712,44.320802211761475
0.632499098777771,7.455654144287109,0.5882353186607361,0.29903632402420044,44.563891887664795
0.22320127487182617,1.3456348180770874,0.8823529481887817,0.12277635186910629,45.798665046691895
0.33383139967918396,2.736492156982422,0.8235294222831726,0.17599056661128998,43.69293689727783
0.36944830417633057,3.4019739627838135,0.6800000071525574,0.21751391887664795,43.72633767127991
0.36683860421180725,3.277103900909424,0.800000011920929,0.19097189605236053,44.198089838027954
0.4122064411640167,3.288311243057251,0.8799999952316284,0.1856769174337387,44.478015661239624
0.31454551219940186,2.8459603786468506,0.7400000095367432,0.17223922908306122,45.637202739715576
0.23385578393936157,1.4478449821472168,0.7647058963775635,0.13773570954799652,43.709614992141724
0.36336007714271545,3.154519557952881,0.6666666865348816,0.1994432806968689,43.757680892944336
0.3466157615184784,2.380955696105957,0.8235294222831726,0.1573392152786255,44.20195722579956
0.29657095670700073,2.2898612022399902,0.6666666865348816,0.17209139466285706,44.49405097961426
0.3566786050796509,3.39570689201355,0.7450980544090271,0.19250211119651794,45.64105820655823
0.32917237281799316,2.236093759536743,0.8039215803146362,0.15806865692138672,43.69426155090332
0.2757478952407837,1.9406061172485352,0.699999988079071,0.16708025336265564,43.77182364463806
0.5036542415618896,4.702767848968506,0.7400000095367432,0.24270863831043243,44.21344590187073
0.40892404317855835,4.215852737426758,0.699999988079071,0.23784290254116058,44.479812145233154
0.2969891428947449,2.1101181507110596,0.800000011920929,0.15928804874420166,45.33582520484924
