rmse,mean_is,coverage_prob,crps,training_time
0.2983311712741852,1.9060816749930383,0.8,0.17495041191577912,39.73798322677612
0.4817437529563904,5.574747134000063,0.625,0.2566435506567359,40.85787081718445
0.42159080505371094,5.71796803902357,0.6153846153846154,0.25097107352354586,41.047078132629395
0.2378396987915039,1.3334281498040907,0.7692307692307693,0.14107406502350783,41.19868779182434
0.3021870255470276,3.0655614252273855,0.7435897435897436,0.17951964300412399,41.550843238830566
0.398559033870697,4.640612688584206,0.6666666666666666,0.2398247466637538,39.555691719055176
0.2884290814399719,2.433753129763481,0.717948717948718,0.17656282297311685,40.6895227432251
0.3449370265007019,2.5368276788638187,0.7948717948717948,0.18376898689147753,40.88811016082764
0.23605331778526306,1.8446033810957885,0.6923076923076923,0.14333786433323836,41.0238938331604
0.24290944635868073,1.7784266708753047,0.7948717948717948,0.14622318228849998,41.43308162689209
0.3360368311405182,3.1992742359638213,0.75,0.1892668090760708,39.56250810623169
0.321590393781662,3.2865934394299985,0.65,0.1792847214266658,40.67262029647827
0.31431564688682556,2.1014700264502792,0.5897435897435898,0.19985805652462518,40.86891484260559
0.2738383710384369,1.746684974584824,0.8205128205128205,0.1531136011083921,41.05114197731018
0.39554721117019653,3.5992263907041306,0.717948717948718,0.21940841239232284,41.460174798965454
0.3025434613227844,2.2891252568134894,0.6923076923076923,0.17668519130884072,39.59308218955994
0.4752693176269531,5.706369082897138,0.6153846153846154,0.2542547963750668,40.68629550933838
0.3528653085231781,3.316020210584005,0.6923076923076923,0.20037318536868462,40.814629554748535
0.3826104700565338,3.604816803565392,0.7435897435897436,0.2042079965273539,41.007359981536865
0.3478606641292572,3.402689299522302,0.6153846153846154,0.2141764528858356,41.40272235870361
