rmse,mean_is,coverage_prob,crps,training_time
0.3662082254886627,2.142964506149292,0.825,0.21222096160054207,156.29843187332153
0.66339510679245,5.933733806014061,0.775,0.3505384802818298,162.8886592388153
0.5500192046165466,4.502961256565192,1.0,0.30825256002254975,167.46733117103577
0.36957183480262756,1.9329400887856116,0.8974358974358975,0.19996937421651986,167.25714874267578
0.37299591302871704,2.7696405481069517,0.7948717948717948,0.20093357792267433,164.65741443634033
0.5860936641693115,3.1777446957734914,0.8205128205128205,0.28506217209192425,156.71631240844727
0.47034117579460144,3.4929027756055198,0.7435897435897436,0.29039981407232773,165.512127161026
0.42650195956230164,2.661342211258717,0.8205128205128205,0.23352206211823684,163.4895248413086
0.6959524154663086,23.582781369869526,1.0,2.296900822566106,167.77593874931335
0.5115336179733276,5.367097365550506,0.6666666666666666,0.29144369753507465,168.21511936187744
0.4315981864929199,2.913943018019199,0.775,0.25279249530285597,157.07094359397888
0.36103060841560364,2.2063391745090484,0.95,0.20862860716879367,163.57719826698303
0.49496981501579285,37.64558114760961,1.0,0.48293380248240936,165.1196804046631
0.3255654573440552,3.607544033955305,1.0,0.17711857648996207,167.98244762420654
0.46387097239494324,7.535796037087073,1.0,0.21293438092256203,168.64640712738037
0.4879095256328583,3.947257645619221,0.7948717948717948,0.2732191888185648,157.3845374584198
0.6192620396614075,6.664606337363903,0.6923076923076923,0.34498540121011245,162.6966588497162
0.5486571788787842,4.399588988377498,0.7948717948717948,0.2848557180319077,163.83523201942444
0.5783231258392334,5.044087931131705,0.7692307692307693,0.3114702888788321,167.97940182685852
0.461638480424881,3.4536497440093603,0.7692307692307693,0.27436691522598267,166.28647470474243
