rmse,mean_is,coverage_prob,crps,training_time
,,0.0,,322.2234115600586
,,0.0,,317.947585105896
,,0.0,,318.4259264469147
,,0.0,,324.94057178497314
,,0.0,,317.3047070503235
,,0.0,,317.7543556690216
,,0.0,,318.15679907798767
,,0.0,,325.51308369636536
,,0.0,,321.9700839519501
,,0.0,,324.6634600162506
,,0.0,,319.11836314201355
,,0.0,,321.43108654022217
,,0.0,,312.9245228767395
,,0.0,,324.4838502407074
,,0.0,,323.46956181526184
,,0.0,,318.619601726532
,,0.0,,309.8084468841553
,,0.0,,320.6871440410614
,,0.0,,318.17182445526123
,,0.0,,312.358216047287
