rmse,mean_is,coverage_prob,crps,training_time
,,0.0,,167.3725323677063
,,0.0,,168.67088770866394
,,0.0,,174.34992814064026
,,0.0,,176.55503726005554
,,0.0,,174.6250398159027
,,0.0,,169.49053359031677
,,0.0,,168.79000329971313
,,0.0,,175.36701440811157
,,0.0,,175.70223712921143
,,0.0,,176.61168265342712
,,0.0,,170.9866394996643
,,0.0,,166.65667176246643
,,0.0,,175.33472871780396
,,0.0,,175.61046147346497
,,0.0,,177.04454135894775
,,0.0,,166.24233889579773
,,0.0,,171.08677291870117
,,0.0,,175.22953534126282
,,0.0,,175.5833821296692
,,0.0,,176.98584389686584
