rmse,mean_is,coverage_prob,crps,training_time
,,0.0,,34.00340938568115
,,0.0,,34.032713413238525
,,0.0,,34.303181886672974
,,0.0,,35.45725131034851
,,0.0,,34.7695095539093
,,0.0,,34.05536413192749
,,0.0,,34.09435963630676
,,0.0,,34.39475393295288
,,0.0,,35.01445007324219
,,0.0,,35.592278718948364
,,0.0,,34.27325916290283
,,0.0,,34.27157783508301
,,0.0,,34.6079957485199
,,0.0,,34.898618936538696
,,0.0,,35.70258188247681
,,0.0,,34.20977973937988
,,0.0,,34.19838571548462
,,0.0,,34.59202766418457
,,0.0,,34.957505226135254
,,0.0,,35.69681525230408
